"lemma","part_of_speech","dle_lemma","dle_url","is_model_verb","model_verbs"
"músico","sustantivo","músico","https://dle.rae.es/m%C3%BAsico#Q9MHl5m","",""
"ofrecer","verbo","ofrecer","https://dle.rae.es/ofrecer#QwAzBOh","0","agradecer"
"cinco","numeral","cinco","https://dle.rae.es/cinco#9Fa9fmv","",""
"convertir","verbo","convertir","https://dle.rae.es/convertir#Agvhx9z","0","sentir"
"medida","sustantivo","medida","https://dle.rae.es/medida#OlAN0dp","",""
"universidad","sustantivo","universidad","https://dle.rae.es/universidad#b6TOjV2","",""
"producto","sustantivo","producto","https://dle.rae.es/producto#UH9P99t","",""
"dentro","adverbio","dentro","https://dle.rae.es/dentro#CDuZpeI","",""
"espacio","sustantivo","espacio","https://dle.rae.es/espacio#GSlrtMv","",""
"sociedad","sustantivo","sociedad","https://dle.rae.es/sociedad#YCB6UHV","",""
"afirmar","verbo","afirmar","https://dle.rae.es/afirmar#0yae0UG","0",""
"perder","verbo","perder","https://dle.rae.es/perder#SYE8NhT","0","entender"
"crear","verbo","crear","https://dle.rae.es/crear#BD1roaf","0",""
"seguridad","sustantivo","seguridad","https://dle.rae.es/seguridad#XTrIaQd","",""
"recordar","verbo","recordar","https://dle.rae.es/recordar#VV3nlWy","0","contar"
"sí","adverbio","sí","https://dle.rae.es/s%C3%AD#XmQKxT2","",""
"largo","adjetivo","largo","https://dle.rae.es/largo#MwNMwao","",""
"uno","cuantificador","uno","https://dle.rae.es/uno#b6hEWeB","",""
"cualquiera","cuantificador","cualquiera","https://dle.rae.es/cualquiera#BRgGL9X","",""
"pequeño","adjetivo","pequeño","https://dle.rae.es/peque%C3%B1o#SWZumFm","",""
"dato","sustantivo","dato","https://dle.rae.es/dato#Bskzsq5","",""
"acción","sustantivo","acción","https://dle.rae.es/acci%C3%B3n#0KZwLbE","",""
"mano","sustantivo","mano","https://dle.rae.es/mano#OF9CzGo","",""
"sentir","verbo","sentir","https://dle.rae.es/sentir#XbV5cZG","1",""
"indicar","verbo","indicar","https://dle.rae.es/indicar#LNzMuUb","0",""
"pues","conjunción","pues","https://dle.rae.es/pues#UawHjxX","",""
"cuyo","relativo","cuyo","https://dle.rae.es/cuyo#Bnkxw0N","",""
"enfermedad","sustantivo","enfermedad","https://dle.rae.es/enfermedad#FHA3D3L","",""
"ambos","cuantificador","ambos","https://dle.rae.es/ambas#2ICIVc3","",""
"idea","sustantivo","idea","https://dle.rae.es/idea#KtN78ZO","",""
"condición","sustantivo","condición","https://dle.rae.es/condici%C3%B3n#ABisSB6","",""
"minuto","sustantivo","minuto","https://dle.rae.es/minuto#PL6TXXC","",""
"desarrollar","verbo","desarrollar","https://dle.rae.es/desarrollar#CTvYRBI","0",""
"incluso","adverbio","incluso","https://dle.rae.es/incluso#LFeJW6l","",""
"pedir","verbo","pedir","https://dle.rae.es/pedir#SJF1xVQ","1",""
"padre","sustantivo","padre","https://dle.rae.es/padre#RQfIvcj","",""
"necesario","adjetivo","necesario","https://dle.rae.es/necesario#QKLjAgy","",""
"nombre","sustantivo","nombre","https://dle.rae.es/nombre#QZupnf6","",""
"nunca","adverbio","nunca","https://dle.rae.es/nunca#QjAupww","",""
"objetivo","sustantivo","objetivo","https://dle.rae.es/objetivo#QmvS5XH","",""
"pasado","adjetivo","pasado","https://dle.rae.es/pasado#S2R3TKa","",""
"ministro","sustantivo","ministro","https://dle.rae.es/ministro#PK3Dvlo","",""
"valor","sustantivo","valor","https://dle.rae.es/valor#bJeLxWG","",""
"empezar","verbo","empezar","https://dle.rae.es/empezar#EprAXEv","0","acertar"
"decisión","sustantivo","decisión","https://dle.rae.es/decisi%C3%B3n#BxP6lay","",""
"educación","sustantivo","educación","https://dle.rae.es/educaci%C3%B3n#EO5CDdh","",""
"jugador","sustantivo","jugador","https://dle.rae.es/jugador#Madwrvz","",""
"riesgo","sustantivo","riesgo","https://dle.rae.es/riesgo#WT8tAMI","",""
"mayoría","sustantivo","mayoría","https://dle.rae.es/mayor%C3%ADa#OgHvXOA","",""
"escribir","verbo","escribir","https://dle.rae.es/escribir#GKCiBz2","0",""
"lado","sustantivo","lado","https://dle.rae.es/lado#Mmd4Xt5","",""
"película","sustantivo","película","https://dle.rae.es/pel%C3%ADcula#SOAkW1v","",""
"organización","sustantivo","organización","https://dle.rae.es/organizaci%C3%B3n#RBkqiJI","",""
"comunidad","sustantivo","comunidad","https://dle.rae.es/comunidad#A5NKSVv","",""
"arte","sustantivo","arte","https://dle.rae.es/arte#3q9w3lk","",""
"uso","sustantivo","uso","https://dle.rae.es/uso#bBV63BI","",""
"mientras","conjunción","mientras","https://dle.rae.es/mientras#PDk0ESX","",""
"realidad","sustantivo","realidad","https://dle.rae.es/realidad#VH7cofQ","",""
"sentido","sustantivo","sentido","https://dle.rae.es/sentido#XbL0DxO","",""
"población","sustantivo","población","https://dle.rae.es/poblaci%C3%B3n#TSMclLh","",""
"posibilidad","sustantivo","posibilidad","https://dle.rae.es/posibilidad#TnE0t3n","",""
"fuerza","sustantivo","fuerza","https://dle.rae.es/fuerza#IYwPBb3","",""
"poder","sustantivo","poder","https://dle.rae.es/poder#TU2nLT0","",""
"precio","sustantivo","precio","https://dle.rae.es/precio#TvdmYgx","",""
"recurso","sustantivo","recurso","https://dle.rae.es/recurso#VXlxWFW","",""
"destacar","verbo","destacar","https://dle.rae.es/destacar#DRw9M3C","0",""
"red","sustantivo","red","https://dle.rae.es/red#VXs6SD8","",""
"mundial","adjetivo","mundial","https://dle.rae.es/mundial#Q5KLp3n","",""
"dólar","sustantivo","dólar","https://dle.rae.es/d%C3%B3lar#E5EQppW","",""
"paso","sustantivo","paso","https://dle.rae.es/paso#S4wajTd","",""
"actual","adjetivo","actual","https://dle.rae.es/actual#0cuhZiL","",""
"abrir","verbo","abrir","https://dle.rae.es/abrir#0BIq0lQ","0",""
"distinto","adjetivo","distinto","https://dle.rae.es/distinto#Dyqjitr","",""
"efecto","sustantivo","efecto","https://dle.rae.es/efecto#EOoHYxJ","",""
"tercero","numeral","tercero","https://dle.rae.es/tercero#ZX6JZWO","",""
"cumplir","verbo","cumplir","https://dle.rae.es/cumplir#BfzDPj7","0",""
"paciente","sustantivo","paciente","https://dle.rae.es/paciente#RPix2Mn","",""
"autor","sustantivo","autor","https://dle.rae.es/autor#4UGeohY","",""
"producción","sustantivo","producción","https://dle.rae.es/producci%C3%B3n#UGzaxVf","",""
"área","sustantivo","área","https://dle.rae.es/%C3%A1rea#3UNKjcA","",""
"imagen","sustantivo","imagen","https://dle.rae.es/imagen#KzwDY4y","",""
"serie","sustantivo","serie","https://dle.rae.es/serie#XfDUOlU","",""
"muerte","sustantivo","muerte","https://dle.rae.es/muerte#Q0MaZUb","",""
"cultura","sustantivo","cultura","https://dle.rae.es/cultura#BetrEjX","",""
"plan","sustantivo","plan","https://dle.rae.es/plan#TIvEXgq","",""
"formar","verbo","formar","https://dle.rae.es/formar#IFIVvz0","0",""
"participar","verbo","participar","https://dle.rae.es/participar#S09ab8h","0",""
"joven","sustantivo","joven","https://dle.rae.es/joven#MXuvwX1","",""
"bajo","preposición","bajo","https://dle.rae.es/bajo#4oyrC6G","",""
"ciento","sustantivo","ciento","https://dle.rae.es/ciento#9BSfNqg","",""
"reconocer","verbo","reconocer","https://dle.rae.es/reconocer#VUKtSkp","0","agradecer"
"experiencia","sustantivo","experiencia","https://dle.rae.es/experiencia#HIeIZIn","",""
"calidad","sustantivo","calidad","https://dle.rae.es/calidad#6nVpk8P","",""
"interés","sustantivo","interés","https://dle.rae.es/inter%C3%A9s#LtgQXGl","",""
"evitar","verbo","evitar","https://dle.rae.es/evitar#H9nBW8F","0",""
"generar","verbo","generar","https://dle.rae.es/generar#J40Yv4a","0",""
"aquí","adverbio","aquí","https://dle.rae.es/aqu%C3%AD#3Mf7L5L","",""
"terminar","verbo","terminar","https://dle.rae.es/terminar#ZYwREwl","0",""
"necesitar","verbo","necesitar","https://dle.rae.es/necesitar#QKOYS1s","0",""
"cambiar","verbo","cambiar","https://dle.rae.es/cambiar#6vf6IVu","0","anunciar"
"acuerdo","sustantivo","acuerdo","https://dle.rae.es/acuerdo#0emgorl","",""
"palabra","sustantivo","palabra","https://dle.rae.es/palabra#RUl938s","",""
"noche","sustantivo","noche","https://dle.rae.es/noche#QYCkgqb","",""
"carrera","sustantivo","carrera","https://dle.rae.es/carrera#7gRETug","",""
"establecer","verbo","establecer","https://dle.rae.es/establecer#GilsITP","0","agradecer"
"autoridad","sustantivo","autoridad","https://dle.rae.es/autoridad#4UNmzWP","",""
"alcanzar","verbo","alcanzar","https://dle.rae.es/alcanzar#1cNAr5i","0",""
"artista","sustantivo","artista","https://dle.rae.es/artista#3ryMAo1","",""
"obtener","verbo","obtener","https://dle.rae.es/obtener#QpzpmTs","0","tener"
"cuerpo","sustantivo","cuerpo","https://dle.rae.es/cuerpo#BamJ7kx","",""
"decidir","verbo","decidir","https://dle.rae.es/decidir#BwLsxjt","0",""
"necesidad","sustantivo","necesidad","https://dle.rae.es/necesidad#QKN8J5J","",""
"especial","adjetivo","especial","https://dle.rae.es/especial#GWUElsN","",""
"ocurrir","verbo","ocurrir","https://dle.rae.es/ocurrir#Qu8oSco","0",""
"informar","verbo","informar","https://dle.rae.es/informar#LY5PzSO","0",""
